,File Name,Duration (s)
269,T6V76330044,57600
270,T6V76330045,61864
271,T6V76330046,71488
272,T6V76330047,48960
273,T6V76330050,51406
274,T6V76330051,54464
275,T6V76330052,69760
276,T6V76330053,75840
277,T6V76330054,66880
278,T6V76330055,58304
279,T6V76330056,59712
280,T6V76330057,52096
281,T6V76330058,62400
282,T6V76330059,60288
283,T6V76330060,50414
284,T6V76330061,58304
285,T6V76330062,59584
286,T6V76330063,53504
287,T6V76330064,69248
288,T6V76330065,75392
289,T6V76330066,57152
290,T6V76330067,79680
291,T6V76330068,52944
292,T6V76330069,53248
293,T6V76330070,57472
294,T6V76330071,50368
295,T6V76330072,52416
296,T6V76330073,51072
297,T6V76330074,47168
298,T6V76330075,43328
299,T6V76330076,51648
300,T6V76330077,82496
301,T6V76330078,48064
302,T6V76330079,89216
303,T6V76330080,49664
304,T6V76330081,59392
305,T6V76330082,67328
306,T6V76330083,75200
307,T6V76330084,59712
308,T6V76330085,64576
309,T6V76330086,69894
310,T6V76330087,61760
311,T6V76330088,51712
312,T6V76330089,41600
313,T6V76330090,60544
314,T6V76330092,55552
315,T6V76330093,50706
316,T6V76330094,49344
317,T6V76330095,45568
318,T6V76330096,42368
319,T6V76330097,57216
320,T6V76330098,52224
321,T6V76330099,48192
322,T6V76330100,54976
323,T6V76330101,56896
324,T6V76330102,51904
325,T6V76330103,71360
326,T6V76330104,57152
327,T6V76330105,62912
328,T6V76330106,51264
329,T6V76330107,70720
330,T6V76330108,54848
331,T6V76330109,61504
332,T6V76330110,65728
333,T6V76330111,69056
334,T6V76330112,68480
335,T6V76330113,51712
336,T6V76330114,60416
337,T6V76330115,66496
338,T6V76330116,44480
339,T6V76330117,55104
340,T6V76330118,49536
341,T6V76330119,62464
342,T6V76330120,58304
343,T6V76330121,60928
344,T6V76330122,49152
345,T6V76330123,54080
346,T6V76330125,53696
347,T6V76330126,51146
348,T6V76330127,76864
349,T6V76330128,61248
350,T6V76330129,48256
351,T6V76330131,52800
352,T6V76330132,55360
353,T6V76330133,54080
354,T6V76330134,58112
355,T6V76330135,54720
356,T6V76330136,51712
357,T6V76330137,55040
358,T6V76330139,53440
359,T6V76330140,57664
360,T6V76330141,62784
361,T6V76330143,60928
362,T6V76330144,60672
363,T6V76330145,48832
364,T6V76330146,67136
365,T6V76330148,61696
366,T6V76330149,65344
367,T6V76330150,51328
368,T6V76330151,72384
369,T6V76330152,55232
370,T6V76330153,56640
371,T6V76330154,46016
372,T6V76330156,61021
373,T6V76330157,57088
374,T6V76330158,61312
375,T6V76330159,39168
376,T6V76330160,63808
377,T6V76330161,51008
378,T6V76330162,68619
379,T6V76330163,63360
380,T6V76330164,53888
381,T6V76330165,47744
382,T6V76330166,59008
383,T6V76330167,42880
384,T6V76330168,45349
385,T6V76330169,58688
386,T6V76330170,74752
387,T6V76330171,50048
388,T6V76330172,64768
389,T6V76330173,67264
390,T6V76330174,48576
391,T6V76330175,62080
392,T6V76330176,58624
393,T6V76330177,59648
394,T6V76330178,76544
395,T6V76330179,56960
396,T6V76330180,47488
397,T6V76330181,83776
398,T6V76330182,84370
399,T6V76330183,80192
400,T6V76330184,55488
401,T6V76330185,44288
402,T6V76330186,47616
403,T6V76330187,56320
404,T6V76330188,70016
405,T6V76330189,57536
406,T6V76330190,48064
407,T6V76330191,56192
408,T6V76330192,50816
409,T6V76330193,66880
410,T6V76330194,51840
411,T6V76330195,67392
412,T6V76330196,59648
413,T6V76330197,72064
414,T6V76330198,67584
415,T6V76330199,56832
416,T6V76330200,47488
417,T6V76330201,40064
418,T6V76330203,61248
419,T6V76330204,73536
420,T6V76330205,45632
